slug_id,id,name,education_levels,student_teacher_ratio,rating,grades,funding_type,student_count,review_count,parent_rating,assigned
Washington-Liberty-High-School-0772859031,0772859031,Washington Liberty High School,['high'],13.2,5.0,"['9', '10', '11', '12']",public,2482.0,10,5,True
Dorothy-Hamm-Middle-0772967701,0772967701,Dorothy Hamm Middle,"['elementary', 'middle', 'high']",,,,public,,5,3,True
Oak-View-Elementary-School-0772865031,0772865031,Oak View Elementary School,['elementary'],15.8,8.0,"['K', '1', '2', '3', '4', '5', '6']",public,827.0,14,5,True
Woodson-High-School-0772865651,0772865651,Woodson High School,['high'],15.0,6.0,"['9', '10', '11', '12']",public,2410.0,19,4,True
Frost-Middle-School-0772864151,0772864151,Frost Middle School,['middle'],14.1,7.0,"['7', '8']",public,1238.0,16,3,True
Kent-Gardens-Elementary-School-0772864561,0772864561,Kent Gardens Elementary School,['elementary'],17.8,9.0,"['K', '1', '2', '3', '4', '5', '6']",public,996.0,20,3,True
Longfellow-Middle-School-0772864811,0772864811,Longfellow Middle School,['middle'],16.7,8.0,"['7', '8']",public,1318.0,21,3,True
Mclean-High-School-0772864921,0772864921,Mclean High School,['high'],17.3,7.0,"['9', '10', '11', '12']",public,2275.0,20,4,True
Ashlawn-Elementary-School-0772858721,0772858721,Ashlawn Elementary School,['elementary'],13.4,7.0,"['K', '1', '2', '3', '4', '5']",public,772.0,13,4,True
Kenmore-Middle-School-0772858861,0772858861,Kenmore Middle School,['middle'],11.9,4.0,"['6', '7', '8']",public,1002.0,17,4,True
Yorktown-High-School-0772859051,0772859051,Yorktown High School,['high'],15.1,6.0,"['9', '10', '11', '12']",public,2308.0,24,4,True
North-Springfield-Elementary-School-0772865021,0772865021,North Springfield Elementary School,['elementary'],11.1,4.0,"['K', '1', '2', '3', '4', '5']",public,496.0,9,5,True
Annandale-High-School-0772863561,0772863561,Annandale High School,['high'],13.5,2.0,"['9', '10', '11', '12']",public,2240.0,13,4,True
Holmes-Middle-School-0772864451,0772864451,Holmes Middle School,['middle'],12.0,4.0,"['6', '7', '8']",public,962.0,7,3,True
Mantua-Elementary-School-0772864861,0772864861,Mantua Elementary School,['elementary'],17.0,7.0,"['K', '1', '2', '3', '4', '5', '6']",public,1086.0,16,4,True
James-K-Polk-Elementary-School-0772858151,0772858151,James K Polk Elementary School,['elementary'],12.5,4.0,"['K', '1', '2', '3', '4', '5']",public,795.0,17,5,True
Francis-C-Hammond-Middle-0772858121,0772858121,Francis C Hammond Middle,['middle'],9.7,2.0,"['6', '7', '8']",public,1478.0,20,3,True
Alexandria-City-High-School-0772858261,0772858261,Alexandria City High School,['high'],10.0,2.0,"['9', '10', '11', '12']",public,3985.0,89,5,True
Weyanoke-Elementary-School-0772865561,0772865561,Weyanoke Elementary School,['elementary'],11.0,2.0,"['K', '1', '2', '3', '4', '5']",public,553.0,11,3,True
Cherry-Run-Elementary-School-0772866011,0772866011,Cherry Run Elementary School,['elementary'],11.8,7.0,"['K', '1', '2', '3', '4', '5', '6']",public,435.0,20,4,True
Lake-Braddock-Secondary-0772864661,0772864661,Lake Braddock Secondary,"['middle', 'high']",15.9,7.0,"['7', '8', '9', '10', '11', '12']",public,4287.0,26,4,True
Swanson-Middle-School-0772858951,0772858951,Swanson Middle School,['middle'],14.5,7.0,"['6', '7', '8']",public,1328.0,6,4,True
McKinley-Elementary-School-0772858911,0772858911,McKinley Elementary School,['elementary'],15.8,7.0,"['K', '1', '2', '3', '4', '5']",public,791.0,17,4,True
Chesterbrook-Elementary-School-0772863761,0772863761,Chesterbrook Elementary School,['elementary'],15.2,9.0,"['K', '1', '2', '3', '4', '5', '6']",public,694.0,22,4,True
Crestwood-Elementary-School-0772863851,0772863851,Crestwood Elementary School,['elementary'],12.4,4.0,"['K', '1', '2', '3', '4', '5', '6']",public,612.0,8,5,True
